date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:53:37	7924/7924	---M--	200	added ('OK')	image/png	etag:%221ef4-59a0fc47f5672%22	http://52.66.5.98/wp-content/uploads/2019/12/cropped-167-180x180.png	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-content/uploads/2019/12/cropped-167-180x180.png	(from http://52.66.5.98/)
21:53:39	20848/20848	---M--	200	added ('OK')	image/png	etag:%225170-599e57ebce53f%22	http://52.66.5.98/wp-content/uploads/2019/12/167.png	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-content/uploads/2019/12/167.png	(from http://52.66.5.98/)
21:53:42	128442/128442	---MC-	200	added ('OK')	application/json	date:Thu,%2019%20Dec%202019%2016:23:32%20GMT	http://52.66.5.98/wp-json/	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-json/index.html	(from http://52.66.5.98/)
21:53:42	36671/36671	---M--	200	added ('OK')	image/jpeg	etag:%228f3f-599f7bb40b3dc%22	http://52.66.5.98/wp-content/uploads/2019/12/Expec-x-e1576664161322.jpg	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-content/uploads/2019/12/Expec-x-e1576664161322.jpg	(from http://52.66.5.98/)
21:53:48	65446/65446	---M--	200	added ('OK')	image/jpeg	etag:%22ffa6-599e57ee50ea7%22	http://52.66.5.98/wp-content/uploads/2019/12/sec.jpeg	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-content/uploads/2019/12/sec.jpg	(from http://52.66.5.98/)
21:53:49	57356/57356	---M--	200	added ('OK')	image/jpeg	etag:%22e00c-599e8193633f4%22	http://52.66.5.98/wp-content/uploads/2019/12/WhatsApp-Image-2019-12-17-at-9.00.41-PM.jpeg	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-content/uploads/2019/12/WhatsApp-Image-2019-12-17-at-9.00.41-PM.jpg	(from http://52.66.5.98/)
21:53:51	74933/74933	---M--	200	added ('OK')	image/jpeg	etag:%22124b5-599e8196b7cc9%22	http://52.66.5.98/wp-content/uploads/2019/12/WhatsApp-Image-2019-12-17-at-9.00.42-PM.jpeg	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-content/uploads/2019/12/WhatsApp-Image-2019-12-17-at-9.00.42-PM.jpg	(from http://52.66.5.98/)
21:53:54	47451/47451	---M--	200	added ('OK')	image/jpeg	etag:%22b95b-599e819203adf%22	http://52.66.5.98/wp-content/uploads/2019/12/WhatsApp-Image-2019-12-17-at-9.00.39-PM.jpeg	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-content/uploads/2019/12/WhatsApp-Image-2019-12-17-at-9.00.39-PM.jpg	(from http://52.66.5.98/)
21:53:59	215697/215697	---M--	200	added ('OK')	image/jpeg	etag:%2234a91-599e8190ee54e%22	http://52.66.5.98/wp-content/uploads/2019/12/WhatsApp-Image-2019-12-10-at-5.20.37-PM.jpeg	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-content/uploads/2019/12/WhatsApp-Image-2019-12-10-at-5.20.37-PM.jpg	(from http://52.66.5.98/)
21:54:33	137/137	---M-Z	200	added ('OK')	text/css	etag:%2289-599f9a2cd9f6a%22	http://52.66.5.98/wp-content/plugins/vertical-news-scroller/css/newsscrollcss.css?ver=5.3.2	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-content/plugins/vertical-news-scroller/css/newsscrollcss9dff.css	(from http://52.66.5.98/)
